Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0trHOzAhNpGCsGBEu7dOJo,"N.Y. State of Mind","Illmatic","Nas",1994-04-19,294081,72,true,m-airon,2024-10-14T08:50:05Z,"old school hiphop,east coast hiphop,hiphop","Columbia",0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,4
spotify:track:33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II","The Infamous","Mobb Deep",1995-04-25,325506,77,true,m-airon,2024-10-16T06:09:35Z,"old school hiphop,east coast hiphop,hardcore hiphop,hiphop,gangsterrap","RCA Records Label",0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4
spotify:track:1Sgj10byiGzPpI2IrXSFEn,"Protect Ya Neck","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan",1993-11-09,291266,66,true,m-airon,2019-04-05T00:20:35Z,"old school hiphop,east coast hiphop,hiphop,gangsterrap,hardcore hiphop","RCA Records Label",0.822,0.509,8,-12.31,0,0.415,0.0353,0.00000726,0.771,0.823,102.007,4
spotify:track:63BcfK6YAzJYeISaTPr6IO,"Big Poppa - 2007 Remaster","Greatest Hits","The Notorious B.I.G.",2007-03-02,249866,72,true,m-airon,2024-10-12T17:24:13Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,4
spotify:track:7EQvdUJqZ2i7SWvSB2VqGA,"Doomsday","Operation: Doomsday (Complete)","MF DOOM;Pebbles The Invisible Girl",1999-10-19,298053,73,true,m-airon,2026-01-27T14:32:28Z,"experimentele hiphop,east coast hiphop,jazz rap,alternative hiphop","Metalface Records",0.856,0.84,6,-7.736,0,0.334,0.0973,0,0.0773,0.792,95.416,4
spotify:track:34FtO3yhuV4TD4u6axnyCL,"Fall Back (feat. Kool G Rap)","The Big Picture","Big L;Kool G Rap",2016-07-15,169133,52,true,m-airon,2024-10-16T14:24:44Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop,horrorcore","RBC Records",0.614,0.789,6,-5.475,0,0.318,0.0546,0.0000354,0.239,0.556,100.997,4
spotify:track:4QpmwtoYEvENZJPQ6a2kbw,"Brooklyn's Finest","Reasonable Doubt","JAŸ-Z;The Notorious B.I.G.",1996-06-25,275640,47,true,m-airon,2022-04-24T08:15:07Z,"hiphop,east coast hiphop,rap,old school hiphop,gangsterrap","Roc-A-Fella",0.495,0.715,6,-8.855,1,0.497,0.135,0.00000104,0.0748,0.743,189.862,4
spotify:track:6jCGzZn0gFeRlbqdaJhw6T,"Party and Bullshit - 2008 Remaster","NOTORIOUS Music From and Inspired by the Original Motion Picture","The Notorious B.I.G.",2009-01-13,217000,0,true,m-airon,2022-03-06T00:10:01Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.433,0.862,1,-3.89,0,0.412,0.193,0,0.604,0.722,200.817,4
spotify:track:2valJ3nXQ1qTEougAJNmYe,"I Shot Ya","Mr. Smith (Deluxe Edition)","LL COOL J;Keith Murray",1995-11-21,231333,38,false,m-airon,2024-11-13T19:10:51Z,"old school hiphop,east coast hiphop,boombap","LL Cool J.",0.683,0.714,10,-10.937,0,0.368,0.215,0,0.117,0.627,173.896,4
spotify:track:4zXMw51RgLPRE3vPDuqBvt,"The Potion","The Red Light District","Ludacris",2004-01-01,234973,53,true,m-airon,2024-12-16T12:35:15Z,"dirty south rap","Def Jam Recordings",0.664,0.662,1,-6.308,1,0.401,0.897,0.000163,0.107,0.524,97.733,4
spotify:track:2Ja3UauMDeQnq4sI8a64Ys,"Affirmative Action (feat. AZ, Cormega & Foxy Brown)","It Was Written","Nas;AZ;Cormega;Foxy Brown",1996-07-02,259800,58,true,m-airon,2024-10-16T06:08:27Z,"old school hiphop,east coast hiphop,hiphop,boombap","Columbia",0.665,0.566,3,-9.209,0,0.443,0.484,0,0.16,0.755,173.804,4
spotify:track:7KwZNVEaqikRSBSpyhXK2j,"Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,83,true,m-airon,2019-04-05T00:06:02Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Rhino Atlantic",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
