Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,1993-11-09,252026,74,TRUE,warriorkid3000,2021-09-29T03:39:28Z,"old school hiphop,east coast hiphop,hiphop,gangsterrap,hardcore hiphop",RCA Records Label,0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,4,east
spotify:track:6OkDb9fyi22Pr6QJIrUNdJ,Rhymes Like Dimes,Operation: Doomsday (Complete),MF DOOM;DJ Cucumber Slice,1999-10-19,258613,65,TRUE,m-airon,2026-01-27T13:35:50Z,"experimentele hiphop,east coast hiphop,jazz rap,alternative hiphop",Metalface Records,0.646,0.752,0,-5.652,1,0.268,0.664,0,0.17,0.761,99.948,4,east
spotify:track:5xzN3p8DlPv7bBhV8mCdao,In Da Club,Get Rich Or Die Tryin' (Explicit UK Version),50 Cent,2003-02-06,193466,0,TRUE,warriorkid3000,2021-09-29T03:52:18Z,"old school hiphop,east coast hiphop",Polydor Associated Labels,0.908,0.721,1,-2.761,0,0.316,0.274,0,0.0758,0.767,90.01,4,east
spotify:track:0ed6evAMZvewGh4UI9KkVU,Kick in the Door - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,286186,55,TRUE,m-airon,2022-03-06T00:13:03Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Rhino Atlantic,0.62,0.854,6,-5.578,1,0.628,0.103,0,0.402,0.671,179.801,4,east
spotify:track:4Qxv2L4JICAWLFrBV6QeH8,Around The Way Girl,Mama Said Knock You Out (Deluxe Edition),LL COOL J,1990-08-27,246533,50,FALSE,m-airon,2022-04-18T21:26:41Z,"old school hiphop,east coast hiphop",LL Cool J.,0.608,0.669,1,-10.834,0,0.335,0.00435,0.0109,0.337,0.679,202.062,4,east
spotify:track:3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,Scorpion,Eve;Gwen Stefani,2001-03-06,230133,73,TRUE,m-airon,2022-04-13T11:52:44Z,NA,Ruff Ryders RECORDS,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,4,east
spotify:track:0B8drtTSp68pZdkmVrG9ZA,Twinz (Deep Cover 98) (feat. Fat Joe),Capital Punishment,Big Pun;Fat Joe,1998-04-28,228173,67,TRUE,warriorkid3000,2024-05-09T04:24:56Z,"east coast hiphop,old school hiphop,hardcore hiphop",LOUD Records,0.634,0.763,0,-7.216,1,0.323,0.32,3.4e-6,0.237,0.519,94.981,4,east
spotify:track:1xIxMz1sNQ4b6svH1GuTtF,Gimme the Loot - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,285946,66,TRUE,warriorkid3000,2021-09-29T03:54:40Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.721,0.662,7,-8.136,1,0.403,0.0888,0,0.178,0.68,94.191,4,east
spotify:track:6jn2A66ztgXPrpeNsdiGHE,Tru Master (with Inspectah Deck & Kurupt),Soul Survivor,Pete Rock;Inspectah Deck;Kurupt,1998-06-17,239533,36,TRUE,m-airon,2024-12-30T16:56:02Z,"jazz rap,east coast hiphop,boombap,g funk,west coast hiphop,gangsterrap,old school hiphop",RCA Records Label,0.649,0.941,2,-4.159,1,0.398,0.0676,0,0.0905,0.64,91.442,4,east
spotify:track:3vZO25GdYuqFrR1kzZADnp,Ready or Not,The Score (Expanded Edition),Fugees;Ms. Lauryn Hill;Wyclef Jean;Pras,1996-02-13,226933,73,TRUE,m-airon,2019-04-05T00:02:58Z,"east coast hiphop,neo soul,old school hiphop",Columbia,0.544,0.428,10,-13.392,0,0.514,0.245,0,0.0899,0.524,89.129,4,east
spotify:track:28AvvchUP85ihRe9xCzcfB,Da Joint,Back In Business,EPMD,1997-09-16,208360,55,TRUE,m-airon,2019-04-05T00:01:54Z,"old school hiphop,east coast hiphop,hiphop",Def Jam Recordings,0.734,0.466,10,-8.658,0,0.464,0.243,0,0.106,0.788,89.318,4,east
spotify:track:63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-02,249866,72,TRUE,warriorkid3000,2021-09-29T03:48:03Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,4,east
spotify:track:14Ai4sTxWbQpNymhpQKuES,You Ain't a Killer,Capital Punishment,Big Pun,1998-04-28,254866,54,TRUE,m-airon,2022-04-13T11:33:30Z,"east coast hiphop,old school hiphop,hardcore hiphop",LOUD Records,0.723,0.887,6,-7.076,1,0.393,0.134,0,0.112,0.745,90.93,4,east
spotify:track:0UN5OvKlbg06LnZyVk48ll,Loungin (Who Do Ya Luv) - Remix,Mr. Smith (Deluxe Edition),LL COOL J;Total,1995-11-21,229373,60,TRUE,m-airon,2024-11-06T08:38:36Z,"old school hiphop,east coast hiphop,r&b,new jack swing",LL Cool J.,0.817,0.584,7,-9.785,1,0.174,0.432,0.00588,0.225,0.502,99.947,4,east
spotify:track:3UQAKY0SUEonxneROvv4jy,Ready to Die - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,264546,62,TRUE,m-airon,2022-04-19T08:21:09Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.727,0.831,6,-5.713,1,0.31,0.0632,3.63e-5,0.487,0.504,84.991,4,east
spotify:track:15LVUC45FiKlBp0wkmJkcv,Niggas Bleed - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,291040,55,TRUE,m-airon,2024-10-23T14:23:29Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Rhino Atlantic,0.541,0.847,1,-3.386,1,0.264,0.354,0,0.231,0.546,83.778,4,east
spotify:track:7gKgd0P3dAAePiSQQBqrlf,Break Ya Neck,Genesis,Busta Rhymes,2001-11-07,231240,68,TRUE,m-airon,2024-10-19T17:30:57Z,east coast hiphop,J Records/Legacy,0.82,0.809,4,-6.759,0,0.251,0.443,0.00175,0.0613,0.737,83.011,4,east
