TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.950044,0.354059,0.155726,1.19575,0.137429,1.10069,0.983041,0.697003,0.519634,0.969916,0.33329,0.296284
0.185759637,0.513709,0.49139,0.285973,1.51321,0.0689059,1.10306,0.240952,0.664354,0.467417,1.07027,0.520648,0.274335
0.232199546,0.12683,0.788456,0.40838,1.4084,0.0278645,0.948199,0.0747068,1.06662,0.36755,1.02501,0.630577,0.204419
0.278639456,0.00426743,1.23139,0.264507,1.01823,0.0934157,0.657594,0,1.66772,0.312337,0.79609,0.729976,0.00111017
0.325079365,0.000333508,1.50893,0.122288,0.374447,0.493245,0.113239,0.0253622,1.83157,0.280611,0.66996,0.997848,0.00106259
0.371519274,0.000260147,1.68058,0.0775786,0.0819585,0.49075,0.202547,0.135031,1.72587,0.535892,0.27145,1.04879,0.000951075
0.417959184,0.0487504,1.92107,0.144538,0.114512,0.240472,0.0964254,0.630611,1.04668,0.840364,0.0932212,0.794527,0.000949823
0.464399093,0.347022,1.40068,0.51408,0.588112,0.0912135,0.0548244,0.780776,0.607731,1.36942,0.0629175,0.849523,0.0766631
0.510839002,0,1.07054,1.42718,0.646422,0.148393,0.41307,0.717875,0.53383,1.16149,0.0602296,0.856714,0.000478164
0.557278912,9.49718e-05,1.34477,1.31544,0.493462,0.253154,0.71865,0.743533,0.228269,0.907386,0.207088,0.451392,0.058626
0.603718821,0.000317829,1.23,1.19288,0.373893,0.154068,0.820488,0.744212,0.0847053,0.665208,0.291029,0.374393,0.287106
0.650158730,0.000400864,1.37269,1.10054,0.187213,0.0800326,0.878905,0.765876,0.0250103,0.437479,0.31124,0.335023,0.321584
0.696598639,0.00034956,1.92402,0.726232,0.00318801,0.496752,0.825034,0.0527394,0.434861,0.652299,0.433975,0.366134,0.0431124
0.743038549,0.111631,2.0383,0.356446,0.440313,0.532566,0.700559,0.0194205,0.436427,0.840788,0.4385,0.235072,0.225533
0.789478458,0.208329,1.25882,0.717901,0.387355,0.780558,1.04457,0.246735,0.337062,0.82311,0.556927,0.259793,0.1943
0.835918367,0.205436,0.765111,1.36756,0.319289,0.549662,1.43187,0.0554066,0.313968,1.0359,0.295385,0.105499,0.165918
0.882358277,0.309086,0.778409,1.47817,0.390915,0.301102,1.54542,0.0555464,0.161974,1.04538,0.179051,0.192522,0.0813076
0.928798186,0.835217,1.10619,1.30072,0.589525,0.219145,1.17296,0.287623,0.146163,0.879979,0.0779209,0.0461561,0.0263414
0.975238095,1.23013,0.86298,0.777267,0.886272,0.902034,0.192547,1.27637,0.0176587,0.926224,0.15405,0.0132861,0.206425
1.021678005,0.934247,0.491782,1.20251,0.920041,0.944094,0.045533,1.5737,0.0278332,0.46426,0.217295,0.0882695,0.905531
1.068117914,0.976821,0.31064,1.26582,1.07761,0.201177,0.265637,1.52954,0.0991022,0.051764,0.378173,0.0707526,1.37755
1.114557823,0.776318,0.285185,0.734684,1.16333,0,0.452157,1.60133,0.233908,0.0514619,0.881611,0.0231326,1.36061
1.160997732,0.654169,0.314308,0.252182,1.01418,0,0.393566,1.03562,0.294078,0.169758,1.29888,0.00383756,1.52573
1.207437642,0.487834,0.520191,0.374571,0.723776,0,0.256278,0.0886201,0.361424,0.477081,1.3746,0.00275989,1.89041
1.253877551,0.767231,0.155004,0.565532,0.148814,0.116115,0.491519,0.159621,1.49665,0.669056,1.15034,0.401907,1.33831
1.300317460,0.940719,0.253288,0.548644,0.389845,0.476058,0.322393,0.0389524,1.46707,0.31808,1.01493,0.499445,1.04649
1.346757370,0.936454,0.338608,0.569988,0.475959,0.399967,0.110275,0,1.38009,0.29151,0.941897,0.452206,1.0089
1.393197279,0.81908,0.413624,0.55985,0.512857,0.312806,0.158726,0,1.46722,0.371393,0.656936,0.387697,0.900269
1.439637188,0.635046,0.419664,0.863405,0.521335,0.160072,0.346203,0.0319101,1.33357,0.538305,0.349324,0.285283,0.673313
1.486077098,0.641979,0.313906,1.18178,0.48041,0.0128188,0.0236013,0.204171,1.00991,0.578659,0.482452,0.0880093,0.0719895
1.532517007,0.37919,0.246721,1.05663,1.11773,0.10288,0.283611,1.79517,0.0531361,0.640082,1.08361,0.480743,0.300711
1.578956916,0.349559,0.375538,0.920494,1.22913,0.133113,0.43216,1.54982,0.0654946,0.614929,0.751783,0.799908,0.408442
1.625396825,0.374549,0.532623,1.22784,1.24164,0.122945,0.444418,1.11153,0.0636779,0.521024,0.603373,0.755607,0.550177
1.671836735,0.391336,0.684669,1.66225,1.20433,0.148048,0.537006,0.523975,0.046628,0.38822,0.390911,0.621404,0.588038
1.718276644,0.409828,0.800565,1.66519,1.21009,0.33817,0.621592,0.236072,0.502214,0.379507,0.294193,0.239076,0.470945
