TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.092879819,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.116099773,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.139319728,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.162539683,-584.287,-23.7625,6.96076,-0.508375,0.0885514,-2.51827,0.390954,0.476727,3.46028,2.39506,4.26314,0.583435,2.84909,0.970818,-0.143861,-3.28855,-0.781085,0.627706,-0.290429,-0.270413,-0.845603
0.185759637,-450.197,-25.6753,-7.97063,14.9103,3.75274,-2.79019,5.41232,0.879411,0.106959,0.543774,-0.643887,0.0794863,1.67915,-0.03494,1.13146,-0.258819,0.347225,-1.24839,1.05031,-2.00095,-0.595375
0.208979592,-335.038,-31.7285,-15.8084,20.4784,-2.73806,-0.880872,-0.138537,1.39414,2.23718,2.23141,-4.05117,0.622973,-2.35097,-0.750598,-0.0847228,-0.659488,-1.8524,-0.704052,-2.97899,-3.10437,-1.81127
0.232199546,-308.184,-49.2681,-22.1678,15.3053,-8.1571,-1.46233,-0.111798,1.81859,-1.42489,1.17144,-1.4716,2.84584,1.04473,-3.36753,0.218095,2.61422,0.120372,0.975555,-1.33362,-0.417737,-1.58262
0.255419501,-293.653,-54.5742,-23.1522,15.8844,-8.40733,-1.72434,1.89745,3.30457,0.306832,5.72418,-0.874733,2.34319,2.72271,1.58564,2.3555,3.34539,2.56745,4.84289,0.932541,-0.0446696,-0.25475
0.278639456,-280.804,-51.4455,-22.9404,16.2541,-10.734,-1.91058,3.3381,6.28739,2.03686,4.81788,1.04719,3.78678,1.08544,0.763706,1.22205,1.20974,-0.351231,-1.36756,-0.325583,0.693916,-1.23552
0.301859410,-282.329,-54.547,-22.029,15.3925,-8.11298,-1.95248,1.68458,3.15946,0.772183,5.961,0.379762,2.08092,2.78061,-0.888778,2.0852,-0.687855,-2.50735,-0.422208,-1.35019,-0.983173,-2.77238
0.325079365,-283.087,-53.9246,-22.4357,17.7955,-7.49798,-2.55985,3.33662,3.98218,0.388697,2.92468,-3.37031,2.57735,-1.51635,-1.94562,2.27999,1.95773,3.60388,0.403197,-1.26455,1.18177,-0.507632
0.348299320,-284.791,-52.4941,-22.0634,17.9046,-6.22782,-2.46697,-0.354981,1.84489,1.9422,6.77834,-1.09242,1.99345,0.574537,-2.87502,2.52134,1.68231,2.34544,-0.0598427,-1.46555,0.773478,-1.2881
0.371519274,-295.842,-52.3939,-28.3925,12.3439,-4.52059,0.0923491,3.2422,2.80336,-2.85593,3.40353,-1.499,2.22914,0.265301,-1.87244,3.32166,3.28181,-0.0816868,-1.88511,-1.11746,2.21139,-0.174419
0.394739229,-304.931,-44.2824,-28.6269,12.9695,-4.51833,-3.42932,-0.991967,2.62467,-3.56295,3.84935,-0.41015,2.39626,-0.79975,-3.71819,1.80216,2.20595,2.20806,-0.0553216,-0.103094,2.50478,1.3753
0.417959184,-333.768,-31.4367,-22.8178,18.1704,-1.28586,-0.207933,2.51691,3.19716,-1.11117,6.69487,1.29585,2.1518,0.0513691,-3.28576,0.890675,0.570954,1.57044,-1.27237,-1.2577,-0.590201,-2.18965
0.441179138,-391.909,-25.3568,-14.5621,21.6091,3.48719,-4.8122,4.97663,1.34826,0.720979,-1.28206,-0.534511,-0.525825,2.00086,0.0744563,4.30356,2.38608,2.38151,-0.0895834,-0.997057,0.111268,0.804409
0.464399093,-410.96,-21.3033,-7.12264,15.9137,5.21344,-1.38138,8.95854,2.88787,1.24636,0.0386381,-0.0751742,0.328997,-1.40392,-3.64674,0.865313,0.877279,-1.18946,-0.556319,-2.09571,-1.66316,-0.234107
0.487619048,-399.546,-15.2958,-4.36291,13.6051,4.35079,-1.47222,4.56011,-1.75719,-1.38675,-1.53996,-0.640716,1.27882,-0.173611,-2.44813,-1.99663,0.691454,2.06123,1.09056,0.395481,-2.19675,1.05401
0.510839002,-354.551,-28.3261,-20.4753,19.5328,1.12524,-1.23657,2.04717,1.07686,-2.26034,0.925552,-2.76745,-0.43959,1.91669,0.62877,2.99119,0.237377,1.59639,-0.59639,1.36164,1.86797,-0.941959
0.534058957,-285.14,-42.5059,-25.3806,17.7782,-3.96927,-1.01888,3.70282,4.07191,-0.148165,4.43321,-0.916287,2.50982,0.405734,0.0514657,0.927708,-0.127033,1.71297,-1.08169,-2.90899,-0.671643,-1.24786
0.557278912,-272.84,-49.6558,-27.5929,12.5588,-9.08427,-5.37108,-1.09455,2.55597,-2.55801,1.94361,-2.58907,-1.10407,-0.116753,-0.872575,0.688213,2.28669,-0.112474,-0.769773,0.0703585,1.34844,-1.09131
0.580498866,-273.174,-50.5038,-27.0622,12.6004,-6.58562,-4.28096,-1.14229,3.60372,-0.226275,5.32808,-0.561952,1.2322,-1.25034,-2.68115,0.0865863,-1.11638,1.13905,0.155902,-0.820669,0.787843,-1.32611
0.603718821,-269.253,-47.4578,-24.3164,9.98169,-11.7638,-5.10927,-1.81522,1.74129,0.297305,3.71715,-1.17086,2.6241,1.9949,0.971618,2.35425,-0.0662124,-2.29911,-3.44121,-1.73658,0.253991,-1.44864
0.626938776,-264.168,-42.7677,-23.6638,11.7984,-12.1932,-8.68484,-2.58808,2.5335,-1.95809,1.03338,-4.44472,1.28769,2.28823,3.97285,6.42204,4.94638,5.24409,1.12207,-1.85781,-2.53901,-5.56081
