TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-700.635,-19.9156,0.238464,-14.8778,2.60393,-7.15423,-1.69245,3.84935,-3.50607,2.32854,1.86439,-4.91794,0.35283,1.57756,-2.08294,0.936739,0.198992,-0.243672,0.327934,-1.74026,2.15786
0.069659864,-565.465,-30.143,2.07211,-9.29891,2.08541,-3.08565,-0.520308,-1.92171,-2.18251,1.82073,1.20086,0.426465,0.0671008,4.73582,2.28239,5.05623,-0.560733,0.312522,-1.32606,-0.501155,1.01217
0.092879819,-562.943,-24.9748,2.56201,-10.5511,4.94983,-3.11771,-1.56412,-0.918312,-0.654161,-1.11013,-0.707439,0.0797069,-0.840654,-0.126527,0.773092,-0.517794,-2.08053,2.5144,-0.814509,-0.658431,-0.551108
0.116099773,-544.335,-18.3258,13.5647,-0.851671,8.81837,0.128321,5.0938,3.22842,2.95567,2.17161,-3.40526,0.401967,0.574997,0.197074,-1.19842,-0.479106,1.35909,1.30615,-1.15274,-2.07082,-0.178982
0.139319728,-308.292,7.58006,-9.35277,21.3393,6.16042,6.66083,1.47812,-2.13415,-2.59412,-0.0933824,-0.811854,1.51984,0.353402,-0.839696,2.88511,0.794123,2.18758,0.211976,0.764565,2.09161,0.218032
0.162539683,-192.72,15.8612,1.48318,21.9186,3.8762,-0.00774154,2.83687,2.72236,-0.401202,3.91326,-0.458581,4.43448,-1.13076,0.381967,-3.23459,-0.544676,0.972141,0.268483,0.569102,0.226193,-0.526263
0.185759637,-203.801,5.61368,-2.01202,26.498,7.5908,6.99062,5.35128,8.01951,2.68344,2.92952,2.34758,5.05063,1.63189,2.46896,0.31356,1.11281,1.40394,-1.22972,1.26694,-1.69019,1.21924
0.208979592,-208.629,1.24159,-0.930046,28.7162,9.70942,5.35722,4.8458,5.57061,0.887448,2.77601,3.48832,2.30785,1.13646,0.503703,1.71449,0.613879,0.888645,-0.232962,1.57692,-0.299602,-0.0153587
0.232199546,-217.053,-0.0358954,2.84116,26.1578,12.245,9.61916,5.5302,4.94515,1.76143,2.4592,1.07611,-2.11865,0.52685,2.2333,1.52723,1.2279,1.798,-1.88337,0.963205,0.867088,0.737443
0.255419501,-225.03,0.438466,7.51737,25.6329,12.6836,7.93117,5.25762,5.12344,2.16801,0.995984,1.31359,2.04575,0.880115,0.375922,1.03266,0.293974,-2.09238,-0.433447,1.13843,1.55506,0.526488
0.278639456,-231.277,1.95923,5.20705,25.7908,13.279,11.7918,7.12224,6.81046,2.10639,3.14097,1.16389,0.501295,-0.725185,0.553635,2.19177,-0.0734049,0.975607,0.343171,-0.0948296,1.83208,-0.667357
0.301859410,-246.98,1.94742,2.66119,23.4135,12.7377,10.3015,5.07566,8.08238,4.15977,3.15092,1.09823,1.74894,1.72187,2.13471,0.703647,-2.43437,-1.72515,0.900949,0.852093,1.28901,-1.02891
0.325079365,-253.383,5.18596,4.83693,24.0162,11.4482,8.26851,4.87035,5.22187,0.813045,3.51764,3.60014,4.0708,0.0764918,-1.02091,-0.263187,0.847233,-0.560575,0.87391,2.55592,2.33771,0.472682
0.348299320,-266.188,7.27444,7.11307,27.8235,13.9868,6.30565,4.22694,8.67465,5.20745,5.64295,2.20367,3.73763,-0.258249,0.913257,0.106025,0.749857,-0.455033,1.53704,-1.36553,1.98787,1.30859
0.371519274,-256.628,15.0018,-2.48458,16.6536,10.1085,11.5487,8.60545,6.65919,2.14044,2.93299,-0.70027,1.92051,1.72522,4.13007,-0.0447296,0.709518,0.639773,1.04523,0.452175,2.67739,0.702175
0.394739229,-262.483,12.6956,-1.07401,20.4458,14.2277,13.4747,7.38276,6.41151,4.01417,2.96074,-1.34297,0.409674,-1.62639,0.965236,0.117579,1.73342,0.0782796,0.149934,-0.629916,0.922869,-0.789472
0.417959184,-252.809,7.33625,-10.8151,20.8773,12.3187,15.1353,6.58896,6.42199,3.98847,3.85734,3.46278,4.89269,2.97317,3.66469,1.52411,-0.412546,0.953297,-1.94779,-2.90585,-0.62356,-0.175068
0.441179138,-282.194,10.6134,0.575551,24.0364,8.08827,6.72799,6.24243,8.13296,2.57098,3.76161,0.664323,3.30241,1.58981,1.31351,-1.43423,-0.858728,0.596834,-0.256863,-1.66143,0.00481721,-1.1249
0.464399093,-273.533,13.1858,-3.62482,24.423,9.64449,9.39706,6.10839,5.96139,6.82932,4.89451,-0.272665,-1.75478,-3.25268,-2.04303,-1.48547,0.523965,-1.04827,-1.61681,-3.99656,-0.476112,0.120227
0.487619048,-238.448,-7.01034,-12.7624,33.0495,2.52496,6.41056,2.31595,3.96256,3.56774,3.32361,1.4973,-2.98837,0.32148,0.376087,-0.104813,1.27343,1.04788,-4.19755,-3.04318,0.356634,-0.132742
0.510839002,-230.196,7.36034,-16.0306,24.5859,-0.672854,7.74022,8.65574,6.0075,4.31432,3.89852,3.92433,3.26111,3.3951,1.84227,0.72327,0.154101,-0.5082,-1.26397,-1.36611,-0.854447,-0.54844
0.534058957,-241.803,18.7471,-11.6626,23.3541,2.66355,8.35914,6.75136,1.6253,1.97301,-0.200561,1.33697,-0.883577,0.93223,0.56424,1.31027,1.32127,-0.594992,-3.33928,-2.12569,-1.51885,0.827894
0.557278912,-252.496,19.7821,-12.1588,21.3165,6.9075,1.97509,1.78042,2.17948,4.34182,-1.32579,-3.34759,-3.36332,1.17225,1.08947,0.935634,1.77521,1.07638,-1.33022,-0.0249281,0.521639,1.3772
0.580498866,-274.569,17.7712,-4.48954,26.8159,7.62448,9.21967,5.87063,3.36893,3.43617,0.744218,1.17003,-0.409257,1.88029,2.81717,5.05672,2.41616,1.44992,-0.0258416,-1.17637,0.0541316,0.842192
0.603718821,-286.375,18.0293,3.42729,33.9313,8.21063,5.50401,1.90185,2.43979,4.51201,4.51279,1.65404,-1.05585,-0.371206,-1.45885,-0.441121,0.961974,2.51902,0.771434,1.68782,-0.0619942,-0.992288
0.626938776,-305.617,9.37175,3.26484,39.308,16.0986,14.3832,6.65771,1.25099,2.48422,-0.0456923,1.03896,0.877398,-0.402832,1.36699,0.728305,-1.2102,-1.84576,0.300401,1.55507,-0.638666,1.87567
0.650158730,-302.93,7.12052,3.03632,38.4461,13.2536,13.9408,9.22803,4.2324,0.392333,-0.432896,-0.300993,-1.07061,0.209662,-0.862861,0.0178186,-1.20813,0.367683,-0.409753,0.481424,-1.06622,0.258431
0.673378685,-306.986,6.10255,-2.93158,32.2211,14.2848,13.1413,6.64161,3.81716,0.358669,0.748416,-0.950001,-2.81535,0.0335156,0.941646,-0.995304,0.255634,1.97324,-0.769111,0.543447,0.198728,0.888436
0.696598639,-301.951,6.66707,0.288885,36.1629,13.5886,15.5801,7.92746,2.71203,-0.378507,-0.961791,1.26582,0.228114,-0.642881,-2.54761,-2.00046,-0.327714,0.000522391,-1.28227,-1.2603,-1.40015,1.12852
0.719818594,-302.134,4.23355,1.45565,34.6724,18.6737,13.3347,9.35615,1.26751,0.396747,0.794666,-0.328587,-2.11796,-1.67091,-1.69814,-0.999443,0.677365,-0.425718,1.39566,0.156965,-1.58391,-0.358892
