TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-320.408,21.4574,-5.92585,-0.683123,-3.45811,-1.24385,-1.79377,-5.00673,-2.57111,5.13496,1.98891,0.0873938,-4.1359,0.206647,4.74955,-0.941429,0.67685,2.33082,-2.30049,1.34217,0.0409036
0.069659864,-324.976,8.21009,-19.434,-4.64396,-3.0833,-2.93146,2.292,2.55962,-0.567965,4.52851,-2.48645,4.16843,0.92953,0.956277,0.479144,-0.678273,0.478682,2.08216,1.94849,4.20973,-0.623672
0.092879819,-331.653,5.18062,-19.8226,-2.1875,0.287483,-2.43176,2.80708,1.7119,-0.837687,5.70069,-1.24721,3.11091,-1.06587,-1.07266,0.406898,1.03463,1.91838,1.07965,-0.436917,-1.78623,-2.90158
0.116099773,-354.776,-0.0895827,-17.4778,-0.0530445,2.42857,-1.55703,1.38591,2.53993,-0.761596,4.57897,-0.491186,3.78038,2.71359,2.93648,2.23868,0.242696,-0.30726,0.999063,-0.0785429,1.27195,1.05639
0.139319728,-348.508,11.4188,-9.18791,-5.30459,-4.61181,0.116941,-2.31511,-2.321,-3.32075,1.04573,-0.908937,2.79447,-1.55012,-1.26656,0.21264,-0.103432,0.55183,0.684866,-1.4084,0.816777,-0.934313
0.162539683,-274.564,16.1846,-16.5134,-3.51821,-1.15336,0.133806,6.56794,4.08137,0.762607,4.94036,-2.05456,4.78745,0.743043,-1.16137,2.87003,-1.10738,2.81448,0.115138,-1.34684,2.73483,-2.61917
0.185759637,-360.581,-5.1745,-15.7904,0.594561,4.52759,0.602367,3.589,5.04379,-1.21337,1.12893,-0.191778,3.78136,1.64744,0.313299,0.0705551,1.77571,1.44034,-1.19691,-0.964886,0.329988,-0.385138
0.208979592,-361.372,-1.82803,-10.8595,4.9287,5.49463,0.327692,-0.911186,2.92653,1.91034,2.93163,-1.95429,0.300862,0.435868,0.512127,0.0663093,1.1661,0.291393,-1.82753,-1.6566,-1.82582,-0.844743
0.232199546,-372.762,-3.82841,-6.12689,5.92391,4.96406,-1.02966,-0.490059,4.9746,1.77302,3.25883,0.914696,1.94833,-0.0206845,1.54984,2.50259,0.222228,-0.667271,-2.19485,-1.97697,-1.83502,-1.72069
0.255419501,-370.334,-5.94179,-11.9368,-0.0836164,2.53115,-1.65121,0.249135,3.08129,-0.859745,2.3389,2.09158,3.34525,1.03945,-0.71035,-1.37684,-2.2927,-2.35692,-1.94703,-0.302987,-0.165436,-1.70313
0.278639456,-334.982,8.05179,-16.5288,-4.02182,-1.24847,-2.94415,2.45493,2.06245,-0.860559,2.41479,-2.03778,-0.572493,-0.810892,0.24106,-0.176448,-2.26472,0.680632,0.715042,-1.87217,-1.03341,1.54739
0.301859410,-277.472,8.66618,-19.2127,-4.28785,-2.48027,-12.3,-4.68563,-4.44044,-3.35533,4.70626,-4.84507,1.65279,-4.91054,-5.09476,-0.340234,2.48314,1.01089,-3.51763,-2.3107,-0.400905,-1.16848
0.325079365,-363.994,2.31192,-3.86684,4.43947,4.26579,-0.561272,1.79153,6.46164,0.727024,2.11135,0.713864,2.87663,1.10579,1.71477,-1.80936,-3.73022,-2.69646,-1.76692,-3.31197,-1.44806,-1.92947
0.348299320,-345.393,7.97505,-10.8242,-2.08547,1.94068,2.5275,1.53675,2.40317,2.44389,5.39588,-1.30093,3.23044,1.10378,0.950115,1.73501,0.197267,0.577037,0.489738,-1.52164,0.51674,-0.426593
0.371519274,-367.243,-4.68383,-11.2849,2.51288,5.42907,-0.128343,3.5948,7.5736,1.83414,2.32602,1.52592,2.84002,1.42371,1.18193,-0.292799,-0.833341,0.212426,-1.10785,-2.09908,-1.77358,-2.51273
0.394739229,-386.017,-5.33669,-3.67868,4.32207,5.45649,0.831526,-1.66678,2.24615,3.80818,4.33438,1.21541,3.00469,1.72408,0.80014,0.904944,-0.580988,-0.535546,-1.51579,-2.1563,-1.08615,0.734299
0.417959184,-339.151,3.51475,0.591508,8.1268,5.39904,2.55808,1.45859,2.80476,-0.191993,0.59868,0.789298,1.01303,0.195742,-0.166089,0.0257548,0.70256,0.454419,0.680468,-1.13612,-1.49412,-0.634894
0.441179138,-234.825,19.9798,-12.3402,2.23964,1.56651,-2.87061,3.12169,0.991831,-4.17171,1.75085,-5.3709,1.13244,-3.08253,1.23797,4.16875,-0.347094,1.03511,-0.709643,-2.09996,-0.368543,-5.63533
0.464399093,-247.677,26.9483,-5.74726,4.85952,0.12228,-1.68643,-2.28848,-4.01444,-3.73878,0.996042,-4.31931,0.691598,-2.51941,-2.98003,0.73592,0.861777,1.22443,-1.42199,-3.68393,-1.10024,-3.20771
0.487619048,-253.146,20.0149,-13.0108,-0.704869,-3.01146,-6.65865,-1.79886,-0.529383,-2.5868,3.86038,-2.64079,1.66599,-2.81527,-1.17806,0.772771,-0.318764,-0.327401,0.353354,0.554595,3.44559,-1.32515
0.510839002,-282.066,16.4375,-14.4618,-2.1436,-2.04467,-3.74319,2.3856,1.38665,-2.38574,3.07591,-1.45555,3.82162,-1.73246,-1.83478,1.51533,-0.124578,2.38493,0.676722,-1.39729,1.19859,-4.24746
0.534058957,-265.232,22.7394,-9.21302,1.18328,-4.93644,-4.76394,-3.12394,-2.73683,-2.95875,3.55158,-1.36211,-0.475387,-5.38801,-3.29622,1.93097,0.0328234,0.36872,-1.68505,-3.02823,0.642674,-0.701967
0.557278912,-242.294,20.7177,-13.4391,4.83346,3.59757,-5.89344,0.302902,-0.7237,-7.60804,2.98232,-5.85403,4.69549,-2.3266,-1.26011,-0.825399,-0.964446,1.11735,-0.382688,-2.8364,0.410422,-2.70153
0.580498866,-243.655,18.9452,-13.2024,-1.30497,-2.9061,-5.67313,1.3145,2.08771,-1.36926,1.37597,-3.89249,1.79858,-0.861652,-0.444913,-0.328625,-2.10312,0.326579,-0.404873,-0.171443,1.95324,-1.49316
0.603718821,-236.503,18.7304,-14.3068,-0.790702,-0.507434,-3.50233,-2.42874,-3.70396,-1.81276,5.27211,-5.71869,3.03836,-0.368929,-2.56915,-0.333494,-1.79476,-0.722978,-0.437809,0.42945,2.93003,-0.291158
0.626938776,-363.31,1.43265,-5.86532,1.52416,1.01671,0.291671,2.47188,4.57468,1.84172,4.3288,0.915003,1.70947,0.342622,1.3945,-0.399509,-2.17493,-0.6637,-0.446622,-0.920637,0.290136,0.125527
0.650158730,-322.168,5.61551,-20.0538,-3.79597,0.0210889,-2.29836,2.62657,1.82107,-0.0467792,4.67036,-3.19038,1.94731,-1.54356,-0.897434,0.969908,-0.626201,-0.253501,0.317855,-0.560378,1.21137,-0.164083
0.673378685,-348.482,1.95708,-13.9844,-0.389798,1.9525,-0.343642,1.94661,4.50148,2.74655,5.27104,1.18779,2.5229,0.91784,0.471664,1.69395,1.52885,0.437027,-1.65877,-2.27793,-0.932248,-0.760192
0.696598639,-352.95,1.09213,-14.3305,0.257235,2.27959,0.364717,2.38519,5.0029,-0.598221,2.45201,1.22572,2.82885,0.0877874,2.55268,2.20521,0.943244,0.0777599,-0.436641,-1.2192,-0.663913,-2.31488
