TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-428.626,39.4441,6.64017,-1.47259,12.0653,1.45562,2.64809,-0.465297,0.607213,1.33584,4.84288,1.08907,0.917615,0.343581,-0.911208,-2.04742,3.05799,-0.538093,0.083629,0.782929,-0.965843
0.069659864,-400.246,23.331,10.2096,1.55055,6.65901,7.10212,3.08828,0.820053,-0.0098172,-0.304413,-0.63722,0.935012,2.28517,2.81785,4.40646,4.94608,4.3097,1.62036,-0.577442,-2.89563,-2.98962
0.092879819,-407.408,22.0383,12.8448,0.480216,5.54333,5.7295,3.3546,-0.220007,0.721958,2.59386,0.252586,-0.58598,1.29658,-0.00170592,-1.32433,-0.607891,1.18705,3.03339,2.37489,0.667045,0.0301367
0.116099773,-411.499,16.7437,8.90276,-2.93864,3.48331,4.30234,2.32096,-0.287576,-0.657533,-0.263315,2.55306,-0.11783,0.083601,-0.604275,-1.31295,1.66867,1.95349,1.88655,1.34777,-0.207034,-0.545364
0.139319728,-409.755,18.1595,12.2597,2.2477,4.31491,3.6656,-1.59235,-4.76568,-3.56928,-0.757267,-1.68671,-0.564924,-2.18261,-0.300183,0.991986,0.936196,1.11482,2.09563,1.38734,0.285018,-0.974656
0.162539683,-400.542,17.4716,5.57378,2.94034,5.4736,1.8519,-0.294734,-1.30905,1.91371,1.15306,0.498852,1.02557,0.787775,1.7687,2.10809,0.110098,-0.569997,1.57734,1.17786,2.10058,-0.0352117
0.185759637,-409.373,14.7796,11.4495,4.52528,5.80582,3.11722,0.483629,0.40344,0.944408,0.422094,-0.238813,1.159,0.968267,1.57364,-0.277136,0.413281,-0.53202,1.8137,1.50486,-0.367415,0.347391
0.208979592,-414.218,13.1771,9.41336,-1.20198,3.04646,1.96607,0.271073,-1.56693,0.733197,-0.501434,1.74519,5.4673,5.43736,4.95978,3.84919,1.03336,0.162063,-0.307437,-0.277012,-1.71831,-0.456496
0.232199546,-240.895,-12.7702,-22.9006,-11.5614,10.1673,7.97175,0.203609,5.57297,-1.92759,-3.70535,-0.0953679,-1.47361,-0.493816,3.19998,-0.397899,1.09826,1.75133,-3.10171,-1.40486,0.175161,-0.243467
0.255419501,-273.046,8.15515,-11.2518,-7.80437,-28.3186,2.00569,-0.761155,2.5142,4.1666,0.940418,-1.01404,5.16379,6.59152,4.64716,4.05579,-3.53862,-5.5369,-4.96852,-4.92919,-2.81023,1.44157
0.278639456,-257.387,0.105179,-16.9311,3.87644,-18.0694,-17.3125,-0.683802,-2.47408,7.85457,-1.99604,-3.67949,-1.38739,-5.29468,2.99783,2.97595,4.34197,6.797,7.07011,4.49276,3.83022,-0.608318
0.301859410,-248.84,6.25823,-19.4843,1.06069,-7.20907,-10.91,0.774626,0.733654,4.26872,3.68149,-6.34842,-6.07475,0.206059,-3.3707,5.76673,-0.661495,0.82679,4.645,0.633378,3.42892,2.2342
0.325079365,-277.663,7.47094,-18.6852,-3.07094,-5.74498,-12.5428,-1.49148,-1.58251,1.30551,4.56392,-3.15903,-8.92451,-6.0463,-1.45178,-1.05647,2.38176,-2.31612,1.61754,0.88352,0.84602,0.124065
0.348299320,-286.2,12.6631,-10.7141,-4.97498,1.89396,0.394679,-7.43727,-0.767374,-2.29489,-0.828955,-2.65498,-2.78153,-2.23762,0.10684,-0.227964,-0.768797,-0.644336,-2.39227,-0.836094,0.185411,0.360461
0.371519274,-306.831,21.96,-12.7717,6.9633,-9.61028,-6.79047,-6.36955,-7.29585,-3.92615,-2.87506,-0.180504,-7.59586,-5.06766,-1.39601,-1.99576,2.22122,-0.416133,-3.65096,-5.7255,-0.889589,1.15224
0.394739229,-292.275,23.0458,-16.6651,8.93301,-4.73583,-6.83311,-4.73428,-8.08182,-4.86811,-2.70981,0.854627,-0.217926,-8.64176,-2.32711,0.370953,-3.85329,-1.02843,-2.30663,-4.85778,-2.11976,0.0497409
0.417959184,-276.611,23.4999,-19.6243,10.5471,0.379773,-6.42023,-14.3756,-2.24699,-4.90293,-1.29526,1.08242,0.0164388,-4.95997,-2.60045,1.80761,-2.36561,-3.10508,-1.4729,-2.32481,-2.23102,-1.00675
0.441179138,-289.667,26.2781,-17.5837,13.3172,1.57252,-1.2492,-16.4558,-5.15268,-2.41548,-5.06504,-1.46555,-1.36967,-4.01397,-0.103268,4.6608,-0.737721,-8.17968,-0.53949,-0.752426,0.377705,-1.63214
0.464399093,-330.848,28.0005,-9.38828,8.72944,6.00499,1.35481,-8.45942,-1.66759,2.90421,-1.49397,-1.03335,-1.93991,-6.46355,-1.7768,2.32815,-1.6262,-6.72211,-2.50724,0.212941,-0.00295985,-1.18233
0.487619048,-336.426,29.0467,-6.27247,9.08316,0.444641,0.90031,-7.25581,-2.84287,-2.22289,-2.58868,-1.72157,-3.98421,-6.03743,2.45662,6.61013,0.154372,-2.52261,0.154258,0.18088,-0.177653,0.440064
0.510839002,-320.569,31.3151,-8.17418,14.9032,1.32756,-0.0179899,-8.96605,-4.84934,1.00525,-8.05023,-3.65088,-2.39773,-5.81142,0.861634,4.58269,-0.528043,-5.78074,0.118056,0.137438,0.317073,2.18383
0.534058957,-304.139,32.787,-10.1468,12.2872,-2.83075,-4.32258,-13.82,-0.19646,1.77456,-9.98216,-4.1939,0.828538,-3.33526,-0.26177,3.67632,1.79545,-3.38661,-0.284784,-1.54298,-1.26683,2.27741
0.557278912,-317.775,37.9312,-3.7344,10.8217,-4.16726,-8.08274,-16.4608,-3.48332,3.13381,-3.59745,-4.12329,-1.96462,-3.88095,-2.6743,2.637,-1.88751,-4.42429,0.628466,0.815818,1.65229,-3.28201
0.580498866,-337.324,35.5204,0.431165,10.7528,-2.0812,-6.69496,-13.4962,-6.07244,0.931055,-5.67328,-4.85541,2.59384,-0.75598,-1.35257,-0.17811,-1.35896,-3.7164,-3.83984,-1.03002,3.5502,0.728477
0.603718821,-343.096,38.1961,-2.17953,9.15388,-0.443908,-3.26988,-10.5204,-4.98711,-1.31747,-5.19479,-5.39305,2.03159,-3.01659,-2.86853,1.32101,-0.310971,-1.71757,0.680528,-2.27047,-1.0795,-0.835549
0.626938776,-344.284,38.5519,-3.85172,9.37307,3.52638,-3.20528,-6.88785,-5.77308,2.30185,-3.63575,-3.73827,3.07053,-3.88456,-2.99893,1.24929,-3.67099,-1.44409,2.64063,-2.8751,-2.53334,0.717324
0.650158730,-340.264,39.5245,-3.51999,8.67634,2.05703,-1.85448,-6.54934,-4.32527,-2.09821,-8.16188,-4.37966,4.46496,-3.1795,-1.37818,2.37829,-1.50865,-4.04982,0.282909,-0.66389,-1.71192,0.175976
0.673378685,-334.99,40.5403,-7.6536,6.83688,3.24062,-0.584066,-7.14409,-6.67342,-2.28773,-11.5769,-6.22656,4.5734,-2.89673,-2.40469,1.52276,-4.11268,-4.11515,1.91697,-1.00268,-1.50864,1.90413
0.696598639,-328.503,44.9942,-10.2373,2.42959,3.24662,-2.03675,-8.59407,-5.36245,-1.95798,-10.2128,-7.73041,8.6094,-1.14657,-2.27203,2.33237,-5.92443,-5.43198,0.0646293,-3.672,-1.02772,0.0876308
