TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.811694,1.4072,1.88138,0.0635106,0.0370327,0.692528,0.316553,0.0631826,0.912528,0.846886,0.333013,0.367766
0.046439909,0.726906,1.51902,1.78289,0.0222803,0.0210686,0.747974,0.212357,0.344659,0.999499,0.666408,0.131817,0.481209
0.092879819,0.222957,2.07439,1.7467,0.064217,0.0503905,0.78616,0.140853,0.0763725,1.09226,0.845283,0.0825085,0.54575
0.139319728,0.670902,2.33231,1.36528,0.162321,1.01838,0.249445,0.536549,0.0815957,0.979209,0.0483002,0.133816,1.04023
0.185759637,1.38788,1.59687,0.654139,0.222045,0.911948,0.05497,0.386725,0.566507,0.719748,0.105646,0.940512,1.11091
0.232199546,1.18617,0.54917,0.431425,0.150882,1.27331,0.172713,0.566635,0.583372,0.926551,0.0766425,1.11949,0.802036
0.278639456,0.680923,0.823422,0.526693,0.600118,0.925188,0.165411,0.526936,0.653939,0.633562,0.0553074,0.910889,0.964675
0.325079365,0.704364,1.19637,0.829995,0.627044,0.575371,0.298208,0.817301,0.39414,0.239526,0.0365047,0.45826,1.21581
0.371519274,0.606969,1.35228,0.864042,0.215481,0.583146,0.0682894,0.748248,0.246708,0.375302,0.000916072,0.487604,1.90854
0.417959184,0.352308,1.42039,0.797564,0,0.525728,0.172945,0.56677,0.419185,0.797245,0.00510009,0.551186,1.84927
0.464399093,0.510113,1.28766,0.577933,0.538197,0.124284,0.227615,0.6979,0.1455,1.83319,0.0285213,0.0105201,1.49492
0.510839002,0.509998,0.387028,0.138722,0.987755,0.125014,0.112215,0.402456,0.265113,2.87342,0.0983326,0.00128036,0.601264
0.557278912,0.541277,0.502955,0.0125742,1.26254,0.138687,0.0998276,0.270602,0.353257,2.76555,0.0431926,0.0402093,0.0913397
0.603718821,0.631245,0.630053,0.139529,1.2842,0.128989,0.0641316,0.36501,0.390197,2.76851,0.00192171,0.104173,0.1153
0.650158730,0.56967,0.327379,0.355712,1.24566,0.112235,0.0160656,0.0885671,0.334844,3.24402,0.00447137,0.17797,0.198771
0.696598639,0.222651,0.343659,0.426641,1.05572,0.436081,0.00135868,0.05431,0,3.66745,0.0032952,0.296677,0.290139
0.743038549,0.0797039,0.485487,0.395299,0.908183,1.17617,0.0370848,0.209388,0.0712752,3.51775,0.0117097,0.297507,0.267894
