TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.374074,0.304164,0.715078,0.621914,1.22364,0.521409,1.1965,0.131496,0.0355398,0.198705,1.70032,0.43598
0.046439909,0.655628,0.380946,0.881904,0.437652,0.996655,0.633321,0.809378,0.288075,0.0061626,0.101594,1.78279,0.216751
0.092879819,0.604923,0.155646,0.745233,0.431937,1.10685,0.359917,0.725545,0.507069,0.513417,0.068007,1.88198,0.282547
0.139319728,0.587508,0.102777,0.47821,0.445483,1.0712,0.165855,0.839512,0.591426,0.731477,0.0912104,1.80915,0.263281
0.185759637,0.634349,0.122232,0.237261,0.510197,1.04415,0.110232,1.00349,0.553726,0.797978,0.147577,1.60114,0.200619
0.232199546,0.751089,0.548985,0.0596085,0.597153,0.935711,0.130897,1.08387,0.435033,0.675424,0.312691,1.14884,0.129559
0.278639456,0.328702,1.03194,0.00905921,0.421342,1.00672,0.0846202,0.785533,0.418075,0.491873,0.423848,0.452435,0.268978
0.325079365,0.212898,1.06573,0.0896574,0.0573975,0.771371,0.344301,0.359332,0.236469,0.489621,0.340007,0.510342,0.700865
0.371519274,0.542935,0.799126,0.230201,0.0212982,0.857581,0.545857,0.0331338,0.274172,0.923395,0.550661,0.695887,0.502664
0.417959184,0.237065,0.777495,0.656118,0.00424823,0.936196,0.253188,0.684683,0.602207,1.01552,0.208111,0.524591,0.842467
0.464399093,0.21762,0.649477,0.686141,0.269222,0.585555,0.0477114,1.19269,0.489217,0.730715,0.121012,1.35486,0.995388
0.510839002,0.0596506,0.742584,0.561799,0.952653,0.584131,0,1.07323,0.475544,0.442957,0.130464,1.52148,1.06169
0.557278912,0.0730856,0.800955,0.428432,1.26932,0.59971,0.0143084,0.846043,0.441849,0.381344,0.138523,1.58769,1.12978
0.603718821,0.10678,0.861302,0.223623,1.29507,0.701506,0.0287846,0.675156,0.439847,0.466038,0.0803507,1.5999,1.17198
0.650158730,0.0275753,0.723155,0.186912,0.936917,1.18312,0.0658331,0.687739,0.433094,0.783501,0.59395,1.63546,0.968804
0.696598639,0.936096,0.845135,0.0203409,0.187703,0.894853,0.327893,0.662946,0.590893,0.490137,1.41631,1.02949,0.924838
0.743038549,0.917914,1.01344,0.00761917,0.19204,0.689013,0.321782,0.401369,0.393829,9.11803e-05,1.47992,1.1607,0.919784
0.789478458,0.569088,0.980991,0,0.194247,0.455728,0.500958,0.266451,0.363719,0.0120614,1.70413,0.883401,1.17966
0.835918367,0.192513,1.13357,0.0669317,0.192153,0.493008,0.726654,0.123989,0.519399,0.0603757,1.68294,0.546647,1.39354
0.882358277,0.207823,1.24963,0.108277,0.186893,0.329981,0.494074,0.122401,0.671831,0,1.59519,0.233236,1.72234
0.928798186,0.156666,1.63157,0.292017,0.177015,0.301689,0.188177,0.204326,0.46659,0,1.31515,0.00372652,1.75573
0.975238095,0.249057,1.79077,0.530643,0.163075,0.167586,0.0412247,0.263173,0.142711,0.0103593,1.45695,0.0660425,1.401
1.021678005,0.217794,1.1408,0.757936,0.156814,0.153602,0.0221886,0.380456,0.32677,0.225771,1.05304,0.294345,1.28933
1.068117914,0.211829,0.967621,0.47315,0.160009,0.505653,0.00570659,0.551101,0.517229,0.651806,0.833045,0.435706,1.0532
1.114557823,0.16887,1.0221,0.124502,0.1243,1.03909,0.0434168,0.550842,0.641224,0.63384,0.795109,0.380277,0.713177
1.160997732,0.257297,1.32381,0.101975,0.482063,1.45325,0.0728183,0.460889,0.393768,0.97726,0.586959,0.580498,0.414302
1.207437642,0.224117,1.50999,0.0630233,0.797262,1.7026,0.316031,0.447443,0.315669,1.10542,0.391178,0.744187,0.669898
