TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.738198,0.932318,0.751395,0.489461,1.3574,0.12752,0.745772,0,0.657266,0.483214,0.362756,0.808114
0.046439909,0.570623,0.285331,0.611695,0.608408,0.904918,0.477207,0.728373,0.00196455,0.950066,0.120802,0.396752,1.59743
0.092879819,0.434004,0.119552,0.835568,1.41523,0.590817,0.633921,0.842006,0.0652262,0.709319,0.116819,0.478643,1.40302
0.139319728,0.508107,0.162856,0.973313,1.64931,0.586486,0.621512,1.1139,0.0502106,0.194327,0.132112,0.451515,1.04238
0.185759637,0.532506,0.239549,1.08913,1.53885,0.728315,0.603026,1.10221,0,0.285313,0.40845,0.359048,1.1419
0.232199546,0.529327,0.218358,0.878667,1.4015,0.807968,0.442645,0.890424,0.122463,0.266054,0.663972,0.440783,1.13238
0.278639456,0.54981,0.160019,0.74739,0.853319,0.385946,1.09502,0.416165,0.469159,0.25079,0.958577,0.00428496,1.2469
0.325079365,0.456925,0.0522313,1.76149,0.36285,0.648156,0.790815,0.500791,0.483879,0.425446,0.872168,0.126362,0.769725
0.371519274,0.418779,0.0845948,1.68122,0.120512,0.571346,1.09379,0.429225,0.592348,0.591355,0.789277,0.152297,0.758633
0.417959184,0.116068,0.171839,1.80802,0.0806344,0.593306,1.16109,0.237147,0.576234,0.823335,0.787116,0.240405,0.867364
0.464399093,0.288362,0.184772,1.77205,0.0335235,0.556753,0.887408,0.079255,0.534836,1.04992,0.813305,0.434949,1.01715
0.510839002,0.422284,0.148152,0.95735,0.0202106,1.16711,0.456054,0.289848,0.25272,1.16509,0.744336,0.46633,1.44541
0.557278912,0.330326,0.402429,0.217883,0.147467,1.89654,0.140297,0.577724,0.235434,1.24772,0.203674,0.143329,1.42306
0.603718821,0.5375,0.666699,0.298293,0.227297,1.62746,0.100879,0.395519,0.11386,1.5006,0.120055,0.221927,1.52206
0.650158730,0.577579,0.211388,0.805518,0.652815,1.54604,0.306323,0.141208,0.765493,1.9002,0.103303,0.0302103,0.270525
0.696598639,1.01846,0.514478,1.34277,0.714069,1.38758,0,0.143266,0.736517,0.808456,0.313809,0.581927,0
0.743038549,0.862131,0.246061,1.17942,1.00218,1.24346,0.078399,0.337754,0.747473,0.687431,0.294691,0.914151,0.0123192
0.789478458,0.838114,0.0583684,0.844669,1.41684,0.889724,0.100054,0.376109,0.605781,0.725726,0.280885,1.20564,0.0224557
0.835918367,0.686175,0.0157235,0.744173,1.33912,0.703628,0.22681,0.303762,0.452509,0.745672,0.308601,1.32048,0.22228
0.882358277,0.384403,0.0250128,0.608865,1.46777,0.540407,0.358434,0.275627,0.0568398,0.654011,0.409858,1.22841,0.339187
0.928798186,0.0258757,0.230363,0.280791,2.07907,0.345371,0.409027,0.0875603,0.0504848,0.215992,0.301253,1.09887,0.378217
