feature,importance
speechiness,0.11743972
acousticness,0.11110538
key_6,0.05381147
danceability,0.05325942
key_8,0.047756948
mood_score,0.046233874
key_7,0.046079855
key_10,0.04460978
loudness,0.04458877
liveness,0.04411933
key_4,0.04221087
valence_energy,0.042128824
instrumentalness,0.04147536
key_9,0.04143385
energy_danceability,0.039865173
valence,0.037627548
key_11,0.037555736
mode_1,0.034222934
tempo,0.03187067
energy,0.030227106
key_1,0.012377367
key_5,0.0
key_3,0.0
key_2,0.0
time signature_5,0.0
