TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.114834,1.58653,0.482552,0.398706,0.996643,0.665727,1.62396,1.04288,0.0428331,0.372218,0.463852,0.462076
0.046439909,0.241078,1.77109,0.295132,0.242974,0.493127,0.140716,1.33055,1.34169,0.354638,0.87878,0.798811,0.799082
0.092879819,0.275266,1.93199,0.210817,0,0.0592565,0.0583064,0.593943,1.62516,0.411509,1.18302,0.676613,0.753622
0.139319728,0.305239,2.21218,0.217953,0,0.138135,0.0917332,0.35042,1.93766,0.285772,1.19448,0.554981,0.381275
0.185759637,0.29167,2.16023,0.346507,0.0588986,0.180087,0.236905,0.232641,2.03448,0.19634,1.1559,0.291879,0.128976
0.232199546,0.253062,1.89984,0.939921,0.0720293,0.196127,0.19155,0.087886,2.14279,0.190005,0.84145,0.0208828,0.260557
0.278639456,0.229905,1.76697,1.27244,0.0122319,0.200598,0.425243,0.0820637,2.17328,0.178419,0.197016,0.0186711,0.37705
0.325079365,0.190114,1.36832,1.4067,0.0152369,0.165046,0.710748,0.100356,2.21705,0.144014,0,0.0214763,0.292437
0.371519274,0.136527,0.950191,1.4928,0.11187,0,0.930254,0.113061,2.1197,0.0796817,0,0.0508032,0.543014
0.417959184,0.0550803,0.128469,1.52704,0.241591,0,1.0335,0.144025,1.67722,0.10715,0,0.0693161,0.920641
0.464399093,0.062567,0.246699,1.43833,0.269562,0,1.14194,0.107793,1.36594,0.118052,0,0.0584881,0.975143
0.510839002,0.0218945,0.449345,1.58453,0.0947106,0,1.20127,0.110885,1.50805,0.119315,0,0.270182,1.11341
0.557278912,0.0239146,0.355876,1.7256,0.137673,0.201531,1.15805,0.384451,1.79736,0.128705,0,0.681672,1.09004
0.603718821,0.0154233,0.981443,1.61532,0.123969,0.185765,1.03316,0.428196,2.49056,0.106053,0.00300061,0.657975,1.00384
0.650158730,0,1.48741,1.49184,0.00594295,0,0.618713,0.0219944,3.63221,0.138259,0.045037,0.455399,0.845994
0.696598639,0.011407,1.47815,1.83096,0.0218842,0.271245,0.136729,0.0141879,3.97084,0.346144,0.0747875,0.0829616,0.67703
0.743038549,0.236616,1.32737,1.15234,0.402184,0.681512,0.291981,0.0199405,3.00495,0.911202,0.33875,0.245221,0.563992
0.789478458,0.71564,0.862873,1.12587,0.21178,0.64687,0.605862,0.344168,1.53335,1.00072,0.641773,0.420524,0.744239
0.835918367,0.769759,0.384497,1.8584,0.056925,0.282645,0.579702,0.629054,1.09182,0.929285,0.546903,0.484838,0.651325
0.882358277,0.365009,0.0930806,3.01601,0.00156699,0.177334,0.579225,0.475393,0.983892,0.843901,0.405758,0.366408,0.353011
0.928798186,0.198419,0.0917325,3.05201,0.0213699,0.0922841,0.468408,0.229143,1.13049,0.166125,0.187652,0.117628,0.96854
0.975238095,0.143638,0.129719,2.8132,0.138272,0.13476,0.932763,0.472725,0.875581,0.120409,0.237129,0.144126,0.999452
1.021678005,0.202055,0.612318,2.33139,0.0143265,0.0725887,1.34477,0.488058,1.19166,0.136839,0,0,1.10898
1.068117914,0.187196,1.3544,1.68314,0.0488025,0.038511,1.61474,0.46472,1.643,0.114493,0,0,1.08599
1.114557823,0.181591,1.36584,1.36958,0.301927,0.191752,1.57231,0.146444,2.50274,0.162477,0,0,0.924096
1.160997732,0.136144,1.29292,1.38062,0.268257,0.0521306,1.04996,0.352411,2.75386,0.234151,0,0.0140948,0.727373
1.207437642,0.0195487,1.0397,1.98865,0.118356,0.00274247,0.282874,0.506304,2.50199,0.248205,0,0.0257754,0.670978
