"Track.URI","Track.Name","Album.Name","Artist.Name.s.","Release.Date","Duration..ms.","Popularity","Explicit","Added.By","Added.At","Genres","Record.Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","region","highlight"
"spotify:track:67ncYmW29pNJJY2yXuLPwT","You Know How We Do It","Greatest Hits","Ice Cube","2001-12-04",232786,69,"true","warriorkid3000","2021-09-29T03:38:11Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Priority Records",0.743,0.651,10,-6.269,0,0.0343,0.0231,0.00388,0.0851,0.543,92.876,4,"west","no"
"spotify:track:7y9yjpRtZajYzVpXHRjwGz","No More ?'s","Eazy-Duz-It","Eazy-E","1988-09-13",234360,71,"true","warriorkid3000","2021-09-29T03:38:21Z","gangsterrap,old school hiphop,west coast hiphop,g funk","FRONTLINE CATALOG (P81)",0.935,0.805,7,-4.782,1,0.225,0.0143,1.53e-06,0.298,0.624,105.641,4,"west","no"
"spotify:track:09b84uwrksszAvJwM6J28L","A Bitch Iz A Bitch","Express Yourself","N.W.A.","1989-03-27",190600,55,"true","warriorkid3000","2023-09-20T03:46:09Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.905,0.548,4,-8.131,1,0.381,0.038,0,0.34,0.794,97.235,4,"west","no"
"spotify:track:2qOm7ukLyHUXWyR4ZWLwxA","It Was A Good Day","The Predator","Ice Cube","1992-11-17",260000,80,"true","warriorkid3000","2021-09-29T03:38:36Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4,"west","no"
"spotify:track:0WKYRFtH6KKbaNWjsxqm70","Gin And Juice (feat. Dat Nigga Daz)","Doggystyle","Snoop Dogg;Daz Dillinger","1993",211493,2,"true","warriorkid3000","2021-09-29T03:49:04Z","g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap","Death Row Records",0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,4,"west","no"
"spotify:track:3yNVfRQlUPViUh8O2V9SQn","Just a Friend","Biz's Baddest Beats: The Best of Biz Markie","Biz Markie","1994-08-07",238266,57,"false","warriorkid3000","2021-09-29T03:39:10Z","old school hiphop,east coast hiphop","Rhino",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4,"west","no"
"spotify:track:20fBuVybkHgjF6vNhSMROD","Ambitionz Az A Ridah","All Eyez On Me","2Pac","1996",278386,1,"true","warriorkid3000","2021-09-29T03:39:14Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Death Row Records",0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,4,"west","no"
"spotify:track:2xTft6GEZeTyWNpdX94rkf","All Eyez On Me","All Eyez On Me","2Pac","1996-02-13",307773,4,"true","warriorkid3000","2021-09-29T03:39:21Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Death Row Records",0.873,0.719,1,-5.948,1,0.248,0.03,0,0.333,0.858,93.281,4,"west","no"
"spotify:track:0Z2J91b2iTGLVTZC4fKgxf","Hit 'Em Up - Single Version","Greatest Hits","2Pac;Outlawz","1998-01-01",312626,83,"true","warriorkid3000","2023-06-12T04:05:46Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","2Pac Greatest Hits",0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19,4,"west","no"
"spotify:track:3bA5Xfk5JyPGtBh00GX8Gk","Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)","Doggystyle","Snoop Dogg;Kurupt;Warren G;Nate Dogg","1993",246346,0,"true","warriorkid3000","2021-09-29T03:39:38Z","g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap","Death Row Records",0.84,0.798,8,-5.079,1,0.0699,0.045,4.32e-05,0.172,0.695,100.175,4,"west","no"
